userId,itemId,rating
24,80,5.0
50,95,0.0
32,75,1.0
47,16,2.0
23,4,0.5
27,56,0.5
42,25,0.5
2,67,0.0
26,96,2.5
17,67,3.0
40,27,1.5
33,93,2.0
9,32,0.5
43,50,1.5
48,61,2.5
39,51,3.5
29,19,0.0
42,21,2.5
26,5,1.5
35,82,4.5
50,92,3.5
25,42,3.0
13,22,4.5
7,21,0.0
36,70,0.5
45,1,2.0
20,5,0.5
8,90,4.0
46,46,1.5
16,34,3.0
14,49,5.0
12,78,4.5
23,90,3.0
28,27,5.0
34,73,3.5
2,26,0.5
32,47,2.0
23,86,4.0
22,56,1.0
25,94,4.0
22,63,0.5
22,48,0.0
49,61,2.0
42,81,0.0
6,26,5.0
15,36,4.0
43,1,4.0
33,99,1.0
8,52,2.5
44,79,3.0
44,47,2.5
5,56,1.5
4,14,2.5
45,28,4.5
32,87,2.5
30,78,3.0
47,88,3.5
35,2,0.0
40,26,4.5
16,14,4.5
13,59,2.5
50,56,2.0
42,7,1.5
30,3,2.5
19,23,0.0
19,38,0.0
28,99,1.5
26,15,4.5
37,64,3.5
26,89,1.5
23,28,1.5
9,74,0.0
12,39,3.5
1,57,0.0
1,17,2.5
47,86,5.0
34,90,0.5
32,44,4.5
48,25,5.0
25,17,0.5
40,13,4.5
45,84,2.5
16,68,3.0
39,10,3.5
5,67,2.5
22,18,4.5
29,100,3.5
3,86,2.5
12,34,4.5
26,8,1.0
16,40,1.0
37,83,1.0
22,42,1.5
29,41,1.0
14,6,4.5
28,52,0.5
5,26,3.5
47,64,1.0
49,98,4.5
30,59,5.0
5,59,4.5
12,70,0.0
26,53,1.0
26,22,4.5
